"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82"
"HALLMARK_UV_RESPONSE_DN","0.420047732696897","0.617283950617284","0.0988903007520636","0.2508475435629","1.02017875767605","113","Nipbl","Col11a1","Akt3","Nfkb1","Mmp16","Dab2","Nfib","Cdk13","Plcb4","Dyrk1a","Scn8a","Col5a2","Mios","Amph","Tgfbr3","Sdc2","Kit","Inpp4b","Atrn","Cacna1a","Irs1","Togaram1","Vav2","Atrx","Igfbp5","Ptprm","Schip1","Magi2","Nr1d2","Notch2","Pten","Mrps31","Mgll","Cdon","Tjp1","Add3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.433070866141732","0.617283950617284","0.102821842840815","0.233805932333927","1.00902424245484","172","Kif2c","Kif15","Incenp","Itsn1","Arhgap5","Rasal2","Lmnb1","Hdac6","Smc1a","Arfgef1","Rabgap1","Nin","Aurka","Kntc1","Kif22","Ssh2","Stk38l","Pcm1","Arhgef3","Cdk5rap2","Tubgcp5","Sos1","Cep250","Shroom2","Ect2","Kif20b","Dlgap5","Sac3d1","Myo1e","Kif23","Bub1","Birc5","Tsc1","Nusap1","Myh10","Dst","Kif11","Tpx2","Kif1b","Top2a","Cntrob","Kifap3","Sorbs2","Abr","Ndc80","Ranbp9","Llgl1","Smc4","Taok2","Bcr","Prc1","Cenpf","Clip2","Notch2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION","0.783847980997625","0.954719039825423","0.0650877566917313","0.216897271233577","0.880646046943727","111","Akt3","Cdk8","Nlgn3","Cadm2","Jam3","Cdh4","Dhx16","Cdh11","Itgb1","Tial1","Vcan","Map3k20","Negr1","Hadh","Shroom2","Calb2","Sorbs3","Cap1","Nectin3","Tsc1","Myh10","Pbx2","Irs1","Sdc3","Vav2","Nlgn2","Pkd1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","0.799076212471132","0.954719039825423","0.0628003977812234","0.222407974601968","0.844782714275809","73","Mapkap1","Mapk10","Hsp90b1","Cab39l","Eif4e","Prkcb","Ecsit","Map3k5","Plcb1","Tbk1","Gsk3b","Rptor","Prkaa2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANDROGEN_RESPONSE","0.876712328767123","0.954719039825423","0.0578529757032509","0.209661196560516","0.810837490277579","79","Arxes1","Sgk1","Stk39","Cenpn","Ngly1","Mertk","Abcc4","Rrp12","Hpgd","Tmem50a","Ccnd3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.892631578947368","0.954719039825423","0.0532386494755899","0.2405427639199","0.66544864397783","17","Akt3","Srprb","Pax6","Stxbp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.897435897435897","0.954719039825423","0.0577308549299813","0.208899101269249","0.814680400191889","84","Hdac9","Cab39l","Map3k1","Prrx1","Etv5","Nin","Rbm4","Etv4","Tspan7","Emp1","Ammecr1","Ptbp2","Sdccag8","Adam17","Tmem176b","St6gal1","Trib2","Dcbld2","Cpe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.950704225352113","0.990316901408451","0.0553642837725362","0.194209570177884","0.78041763552196","103","Gab2","Celsr1","Dhrs3","Inpp5f","Mybl1","Wwc1","Fasn","Rrp12","Elf1","Isg20l2","Ugcg","Calb2","Amfr","Svil","Deptor","Sh3bp5","Celsr2","Rab31","Gfra1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V2","0.99820788530466","0.99820788530466","0.0407403526717903","-0.16687339434436","-0.539584952745354","38","Nop16","Farsa","Supv3l1","Ddx18","Mybbp1a","Srm","Mphosph10","Nip7","Gnl3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL2_STAT5_SIGNALING","0.97887323943662","0.99820788530466","0.0408229003677776","-0.180001242080267","-0.681187801762866","96","Odc1","Muc1","Gsto1","Umps","Socs2","Phlda1","Hopx","Snx9","Dcps","Smpdl3a","Furin","Nfkbiz","Cdc42se2","Igf2r","Bmpr2","Pnp","Rgs16","Glipr2","Rhob","Tiam1","P2rx4","Eef1akmt1","Twsg1","Ncoa3","Ckap4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
