"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mis12",0.0489461408144809,-0.056411245583426,0.179,0.285,0.153729446073899
"Nup93",0.0489578734855305,-0.0494475933817978,0.236,0.361,0.153729446073899
"Cbr1",0.0489638268176932,-0.0713596583420308,0.186,0.288,0.153729446073899
"Tmed5",0.0489856696100491,-0.0361017693389486,0.2,0.323,0.153745783694583
"Cab39l",0.0490084663107383,-0.0416793406073075,0.15,0.247,0.153765103127749
"Far1",0.0490573388215761,-0.0759239423880386,0.293,0.424,0.153866195081929
"Smyd5",0.0490935725209778,-0.0567945584274062,0.057,0.118,0.153927590802116
"Arl16",0.0492309363125054,-0.00354838160192435,0.064,0.132,0.154305919785465
"Coq6",0.0493137331547282,-0.0333529236515746,0.079,0.149,0.154513019447165
"Trir",0.0493335725112126,-0.12362175193179,0.457,0.58,0.154522783052069
"Abhd13",0.0494010632986875,-0.0473419328377639,0.05,0.108,0.154650080382882
"Msantd3",0.0494076880184272,-0.0781162777926898,0.236,0.344,0.154650080382882
"Zfp942",0.0494253004338639,-0.0717775202422805,0.1,0.174,0.154652819508602
"Myb",0.0497385937348921,-0.00633642932027664,0.071,0.142,0.155580435379283
"mt-Nd4l",0.0497623006849228,0.105941280308058,0.764,0.733,0.155601914832043
"Veph1",0.0497840892092523,-0.107315114146646,0.121,0.198,0.155617383049219
"B9d1",0.0498315969313976,-0.046804517187508,0.071,0.139,0.155713207861385
"Zfand5",0.0498611866304308,-0.112659113122904,0.457,0.601,0.155752996776599
"Rcor3",0.0499147602902738,-0.0443224094821156,0.114,0.198,0.155862213314868
"Maco1",0.0499519767144218,0.143848843597853,0.543,0.503,0.155862213314868
"Ppdpf",0.0499550082947978,-0.0871364905753556,0.35,0.493,0.155862213314868
"Arl14ep",0.0499636229262598,-0.0505344549758568,0.129,0.215,0.155862213314868
"Lrp5",0.0499811491546399,0.157007594529756,0.2,0.139,0.155864265335428
"Cnot6l",0.0501047816127747,-0.101045189398084,0.379,0.521,0.156197092477071
"Gspt1",0.050149892536371,-0.119520722313101,0.443,0.587,0.156284993941338
"Spdl1",0.0501978814081056,-0.0744629564082128,0.171,0.264,0.1563321962835
"Cep131",0.0502050780713086,-0.0290376655675262,0.1,0.181,0.1563321962835
"Dis3l",0.0502157963819727,-0.0163016484211858,0.093,0.17,0.1563321962835
"Scamp3",0.0503116340881209,-0.0255944849708598,0.093,0.167,0.156577803628911
"Hist1h3i",0.050350013715622,-0.0110959511036711,0.043,0.101,0.156644487115268
"Snx4",0.0503877308049759,-0.0537570721405309,0.207,0.319,0.156667533415093
"Cep63",0.0503972690636639,-0.0160599514902582,0.136,0.233,0.156667533415093
"Pigg",0.0504082875371289,-0.0561360224212881,0.057,0.118,0.156667533415093
"Snd1",0.0504272566898982,0.155986351746109,0.471,0.427,0.156673790119253
"Gdi1",0.0505017410806287,-0.0887981207523321,0.321,0.451,0.156852466415129
"Nckap5",0.0505246326610641,0.133968322815165,0.664,0.67,0.156853160779895
"Rcan1",0.0505359155456438,-0.0270742729462152,0.093,0.17,0.156853160779895
"Ccdc130",0.0506296904364016,-0.0207295646888608,0.05,0.111,0.157091450514557
"Haus8",0.0506612382848906,-0.0379480302393892,0.114,0.198,0.157136569906811
"Zfp317",0.0508577428034219,-0.0366273386495574,0.093,0.17,0.157693135403899
"Ift46",0.050908804496794,-0.0705855677159042,0.15,0.236,0.157755579243463
"Arl6",0.0509120278467539,-0.0488675126567898,0.136,0.222,0.157755579243463
"Elmsan1",0.0509364129315914,-0.072053011951419,0.114,0.194,0.157778228457226
"Acadl",0.0509590857363817,-0.0497311038347337,0.093,0.167,0.157795560390136
"Cdk5rap1",0.050980701711921,-0.0520048096904857,0.057,0.118,0.157809609319313
"Poc5",0.0510561832140814,-0.0162630468147799,0.164,0.271,0.157973180451965
"Pwp1",0.051070719991479,-0.0430393679991602,0.121,0.208,0.157973180451965
"Rab1a",0.0510848336786226,-0.0623096163437035,0.307,0.455,0.157973180451965
"Cd46",0.0511856955659041,-0.0667722493016547,0.05,0.108,0.158232126807947
"Cap2",0.0512628824275355,-0.0670914463296736,0.129,0.212,0.158417737000143
"Nr2e1",0.0513081210857527,-0.0230647843250574,0.15,0.253,0.158504526523689
"Mrpl9",0.0513771203246189,-0.0163565282836441,0.136,0.236,0.158664636296617
"Senp6",0.051405033331094,0.0966826125073782,0.65,0.66,0.158697797520651
"Tmem50a",0.0514343449796836,-0.0700389961057172,0.286,0.42,0.158735253043512
"Insr",0.0514703666199349,-0.0872801338001543,0.321,0.441,0.158793384830784
"Igdcc4",0.0515173971662374,-0.0613545897864417,0.186,0.288,0.158885430512695
"Hypk",0.0515609368610993,-0.0659445219815643,0.221,0.33,0.15896665218437
"Dnajc19",0.0515943550672571,-0.062924147863996,0.293,0.434,0.159016624690279
"Zfp763",0.0516637508625295,-0.0731018458194086,0.157,0.247,0.159177411793856
"Cnot11",0.0517052593557036,-0.0334638626090824,0.129,0.212,0.159252198815567
"Fbxo5",0.0517820976221643,-0.125530268580599,0.35,0.448,0.159435715437787
"2310022A10Rik",0.0518489307148657,-0.0328724829882355,0.064,0.128,0.159567570054294
"Gabarapl2",0.05187643610291,-0.11732639013518,0.479,0.66,0.159567570054294
"Bax",0.0518767294851838,-0.102292074300339,0.371,0.514,0.159567570054294
"Sfpq",0.0519197986209168,-0.0725010332089322,0.836,0.861,0.159646901583118
"Pcmtd2",0.0519889134352657,-0.0671587480882533,0.2,0.302,0.159806240898821
"Nrbf2",0.0520284672120105,-0.0288269154489544,0.114,0.198,0.159812616688477
"Nxt2",0.0520452054591466,-0.049889350825776,0.071,0.135,0.159812616688477
"Morf4l2",0.0520488979515413,-0.12048112696797,0.436,0.569,0.159812616688477
"Cd81",0.0520601705879129,-0.104708697209022,0.407,0.542,0.159812616688477
"Maf1",0.0521152698889121,-0.0699017520248797,0.236,0.351,0.159928626294768
"Lpcat1",0.052184253552731,-0.0494650066003625,0.214,0.333,0.160068433099626
"Pcbp4",0.0521954749923348,-0.0979291135333099,0.371,0.507,0.160068433099626
"Gm10762",0.0522148095365863,-0.0080461039877148,0.121,0.212,0.160074598579316
"Surf2",0.0523067638292107,-0.0235248429223764,0.079,0.149,0.160303316013899
"Mki67",0.0523320726720546,-0.111547212412695,0.671,0.736,0.160327702748602
"Rbfox3",0.0523537418596496,0.186632545759224,0.5,0.465,0.160340926345098
"Notch1",0.052376684368166,-0.104701732775484,0.357,0.493,0.160358039616254
"Syn2",0.0524373965156868,0.159383687629281,0.379,0.309,0.160490739915517
"Gen1",0.0525566946261188,-0.0280681056427599,0.15,0.253,0.160802602101105
"Dop1b",0.0525933795569535,-0.0532426182114804,0.079,0.146,0.16086157798949
"Donson",0.0527002245638154,-0.0523465828723185,0.086,0.156,0.161081731713415
"Trappc2",0.0527002245638154,-0.0450802109323216,0.086,0.156,0.161081731713415
"Rbm39",0.0527331636254906,-0.0740591982656371,0.921,0.958,0.161129111077888
"Thap7",0.0527894430209966,-0.0360460287187649,0.064,0.128,0.16123062464809
"Aamdc",0.0528012846520692,-0.0347989815819743,0.114,0.198,0.16123062464809
"Acd",0.0528221186233234,-0.027117236220291,0.136,0.226,0.161240956749094
"Mrpl14",0.052878670048377,-0.0435584380624424,0.214,0.337,0.161360274520146
"Taf5",0.0530221428201261,-0.0431030145954007,0.157,0.253,0.161744668094409
"Riok1",0.0531224237290985,-0.0317024169912394,0.229,0.358,0.161997094144182
"Dnajb6",0.0532146664672785,-0.130044805265016,0.521,0.66,0.162224849276692
"Zdhhc3",0.0532455594893652,-0.0591476396377907,0.186,0.285,0.162265491319833
"Slc1a4",0.0532701595042351,-0.0793468470744481,0.143,0.226,0.162286934988174
"Rsl1d1",0.0533117548756355,-0.0686477039152772,0.3,0.438,0.162360123615976
"Snrnp48",0.0533591028342767,-0.0864638678584118,0.371,0.507,0.162450777656908
"Ddx10",0.0534090215250644,-0.0664032248082825,0.179,0.274,0.162548623202391
"Fmnl3",0.0534264251802664,-0.0465314108563385,0.114,0.198,0.162548623202391
"Fxr2",0.0534860489148735,-0.0942695101725892,0.3,0.417,0.162676462137403
"Paip2",0.0535231130146973,-0.12476874466116,0.586,0.694,0.162697245338188
"Hspe1",0.0535280980333433,-0.125435023957383,0.507,0.622,0.162697245338188
"9130401M01Rik",0.0536072516198592,-0.0612437124824148,0.1,0.174,0.162884250235942
"Sap30",0.053639228652852,-0.0645501569647868,0.264,0.389,0.162927834566848
"Bmyc",0.0537794832381223,-0.0524257466583751,0.143,0.229,0.163279293787173
"Enox2",0.0537902781697138,-0.0985629303433139,0.157,0.243,0.163279293787173
"Sdcbp",0.0538216377852842,-0.0509330727171763,0.257,0.392,0.163296553623389
"Auh",0.0538313097767145,-0.0317911578017129,0.157,0.257,0.163296553623389
"Nipbl",0.0539052819386268,-0.104929831243101,0.657,0.781,0.163413994406589
"Plekha8",0.0539179092346577,-0.0507842296010131,0.086,0.156,0.163413994406589
"Ttc27",0.0539237981285668,-0.0367948480856482,0.107,0.188,0.163413994406589
"Obsl1",0.053957064663247,-0.0113311644948151,0.043,0.101,0.163413994406589
"Crk",0.0539584520491888,-0.041659994391506,0.214,0.33,0.163413994406589
"Bnip2",0.0540571561462142,-0.0368529698025669,0.257,0.389,0.163659280075694
"Yif1b",0.0541605060283204,-0.0183076233456978,0.136,0.229,0.163918465673659
"Ipmk",0.0542880901954784,-0.0396064949993787,0.114,0.194,0.164250803341919
"Mrpl3",0.054317660135352,-0.0466602395555467,0.186,0.288,0.164286474517398
"Plp2",0.0543451790287952,-0.0296088240744528,0.071,0.139,0.164315920885493
"Katnb1",0.0544456951621807,-0.0293506578984772,0.079,0.149,0.164565987340055
"Cryzl1",0.0545019286483781,-0.0599318536265934,0.25,0.365,0.164682086563445
"Rcc1",0.0545641292029695,-0.0468869358142129,0.207,0.316,0.16476396320232
"Anapc16",0.0545646891124568,-0.0411155494537839,0.243,0.368,0.16476396320232
"Pold2",0.0546103154752544,-0.0235916376315067,0.136,0.229,0.164847865073947
"Zfp995",0.0548376089799847,-0.060914070758119,0.071,0.135,0.16547991736612
"Nfyb",0.0548727581732538,-0.078510991507115,0.35,0.49,0.165531924753792
"Chaf1b",0.0549141102229994,-0.0323376988989199,0.136,0.226,0.165581302767478
"Vat1",0.0549374873680618,-0.0406713222884312,0.057,0.118,0.165581302767478
"2810432F15Rik",0.0549428868273905,0.0851174519631524,0.107,0.056,0.165581302767478
"Cdca7",0.0550313357168523,-0.0972078169744544,0.286,0.41,0.165793786117938
"Zic2",0.0551309141130759,-0.0538108451630782,0.05,0.108,0.16603965006676
"Adprhl2",0.055182472735518,-0.0513298210366149,0.171,0.267,0.166140778128441
"Ammecr1l",0.0552350106061485,-0.0396701613282749,0.179,0.281,0.166244787622414
"Snhg4",0.0552751424960527,-0.0624050700555449,0.143,0.229,0.166311402365199
"Ints6l",0.0553102330134362,-0.0775903797437812,0.136,0.215,0.166362810235726
"Cops7a",0.0553418227618994,-0.0373934578689864,0.129,0.215,0.166403658418467
"Wdfy3",0.0553699632169859,0.104312097859988,0.671,0.663,0.166434111946958
"Zhx3",0.0554141563205785,0.13482064681327,0.471,0.42,0.166512781919397
"Fiz1",0.0555793818376535,-0.0429038984706273,0.171,0.271,0.166913054871347
"Smad4",0.0555834924068329,-0.0936770940976328,0.414,0.545,0.166913054871347
"Nfkbil1",0.0556415328289103,-0.0472890397992466,0.086,0.153,0.166981733750457
"AI506816",0.0556425063006122,-0.0506898806480252,0.157,0.25,0.166981733750457
"Nfib",0.0556670488568502,0.0441930181110652,0.971,0.986,0.167001146570551
"Fcho2",0.0556886352490957,0.145599862969914,0.471,0.455,0.167011681175477
"Stim1",0.0558623954721688,-0.039614079479319,0.1,0.177,0.167478434186515
"Gm29260",0.0558881369322837,0.140271751779424,0.743,0.708,0.167501260218716
"Ndrg3",0.0559784795212985,-0.0621023436599507,0.2,0.302,0.167702905439666
"Gm16093",0.0559917168053431,0.190211486032478,0.271,0.215,0.167702905439666
"Cdk16",0.0560196505819024,-0.031681604896025,0.2,0.312,0.167732200705372
"Zfhx2",0.056120338425765,0.195129220853575,0.321,0.274,0.167979244267596
"Slc35b4",0.0564336995921649,-0.0684866400709847,0.057,0.115,0.168825826304445
"Snx11",0.0564397161747219,-0.0634013982150531,0.15,0.236,0.168825826304445
"Cenpk",0.0564790297203836,-0.113518145535914,0.407,0.535,0.168845731484882
"Spg11",0.0564829173181571,-0.0206980311879093,0.129,0.219,0.168845731484882
"Zfp146",0.0567508220936426,-0.0245021015288738,0.136,0.229,0.169591719322528
"Pole2",0.0568284377015269,-0.0438373074159515,0.15,0.24,0.169768756664115
"Ube2t",0.0568487445309955,-0.0666190601786185,0.257,0.372,0.169774531178539
"Serpini1",0.0569822195141628,-0.077183961279718,0.186,0.285,0.170043061157122
"Arrdc3",0.0569868356642089,-0.06350354496184,0.214,0.323,0.170043061157122
"4930503L19Rik",0.0569938701735506,-0.0712192299536493,0.271,0.392,0.170043061157122
"Gns",0.0570797095212688,-0.0620973684022193,0.121,0.201,0.170244194956915
"Zfp868",0.0571420751511413,-0.0260748382813996,0.114,0.198,0.17035937514702
"Ccnc",0.057155201618589,-0.0503351698602955,0.243,0.361,0.17035937514702
"Mrpl46",0.0571899172968614,-0.0269125177498842,0.121,0.205,0.170395551054775
"Lcorl",0.0572042207112458,0.113537040340332,0.686,0.694,0.170395551054775
"Mtpn",0.0573126656356729,-0.0755571228365338,0.271,0.392,0.170663561222564
"Pdia6",0.0573692756094003,-0.117003669844104,0.55,0.688,0.170777096208395
