"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71"
"HALLMARK_E2F_TARGETS","0.564853556485356","0.763315616872102","0.0751181635276301","-0.273452806006228","-0.892418640728312","83","Stmn1","Tubb5","Nop56","Rad50","Anp32e","Smc1a","Exosc8","Nme1","Tipin","Eif2s1","Stag1","Nudt21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TGF_BETA_SIGNALING","0.534516765285996","0.763315616872102","0.0749278818393739","-0.324644757450752","-0.941018388736882","33","Apc","Xiap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PROTEIN_SECRETION","0.526096033402923","0.763315616872102","0.0787113806986485","-0.294396956713513","-0.933062491259886","71","Ergic3","Anp32e","Lman1","Cltc","Mapk1","Ocrl","Tmed2","Cog2","Arcn1","Rer1","Tsg101","Pam","Copb1","Ap3b1","Stam","Atp6v1h","Snap23","Vps45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_DN","0.500998003992016","0.763315616872102","0.0789209638180035","-0.339712730239158","-0.969801890618735","32","Dcc","Chst2","Camk1d","Bmpr1b","Igfbp2","Ypel1","Asb7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.500978473581213","0.763315616872102","0.0778840111977068","-0.397411554231078","-0.960759857314892","14","Chga","Sec11a","Dcx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_SPERMATOGENESIS","0.406882591093117","0.763315616872102","0.0911073131586733","-0.33595511056521","-1.00125424771523","41","Dcc","Ift88","Agfg1","Cnih2","Clpb","Mast2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","0.304801670146138","0.677257525083612","0.110564716336619","-0.332805374036916","-1.05479423045038","71","Rps14","Nop56","Calr","Eif4e","Eef2","Sec11a","Paip1","Edc4","Khsrp","Pdia6","Eif2s1","Dkc1","Dcp1a","Eif4a2","Kif5b","Tspyl2","Hsp90b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_DNA_REPAIR","0.285714285714286","0.677257525083612","0.115240003147781","-0.322998002434829","-1.06479654245783","88","Polr2k","Gtf2b","Xpc","Nme1","Hprt","Taf10","Tmed2","Dad1","Impdh2","Bcap31","Adcy6","Nudt21","Tsg101","Eif1b","Ddb1","Taf13","Guk1","Rala","Polr1c","Polr2d","Itpa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","0.260869565217391","0.677257525083612","0.117249716749792","-0.515151342971808","-1.19358304629266","12","Nrp1","Fgfr1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V2","0.249500998003992","0.677257525083612","0.120985142145252","-0.440753427203794","-1.17135002330064","22","Nop56","Wdr74","Hspd1","Supv3l1","Mrto4","Wdr43","Srm","Las1l","Nip7","Rcl1","Farsa","Npm1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ALLOGRAFT_REJECTION","0.247916666666667","0.677257525083612","0.124434168630393","-0.370933728816131","-1.12262664910914","45","Rps9","Prkcb","Rps19","Rpl39","Rps3a1","Degs1","Akt1","Nme1","Eif3a","Galnt1","Dars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_GLYCOLYSIS","0.201244813278008","0.670816044260028","0.139599673451922","-0.349394618893209","-1.13546431187565","78","Stmn1","Fut8","Fkbp4","Chst2","Ppia","Cog2","Ndufv3","B3gat3","Cyb5a","B4galt2","Akr1a1","Sdc3","Zfp292","Pam","Pmm2","Dld","B3galt6","Med24","Copb2","Rbck1","Gpc1","Kif2a","Hdlbp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.130177514792899","0.542406311637081","0.172324344900946","-0.503926145356241","-1.32543451807466","21","Nrp1","Rtn1","Tle1","Cdk5r1","Nrp2","Nf1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V1","0.12448132780083","0.542406311637081","0.181383128498408","-0.372196496692309","-1.31993154325199","154","Rps5","Cyc1","Nop56","Srsf7","Eif4e","Rplp0","Hsp90ab1","Rack1","Rpl6","Cct4","Nme1","Psmd14","Rps2","Cct3","Hprt","Ppia","Cul1","Hspd1","Impdh2","Psma2","Hdac2","Vdac1","Eef1b2","Eif2s1","Psma7","Hnrnpa2b1","Tfdp1","Ube2l3","Psmc6","Eprs","Lsm2","Rps6","Dek","Psmb3","Srsf3","Rad23b","Lsm7","Prpf31","Rsl1d1","Eif3b","Phb2","Cct2","Eif4g2","Canx","Abce1","Serbp1","Snrpb2","Rpl22","Hnrnpr","Eif2s2","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","0.0686868686868687","0.429292929292929","0.245041785430996","-0.486099576506354","-1.529109444174","61","Vav3","Prkcb","Calr","Eif4e","Akt1","Cltc","Cfl1","Mapk1","Csnk2b","Actr3","Grb2","Mapk10","Pfn1","Tiam1","Map2k6","Plcg1","Ube2n","Camk4","Hsp90b1","Acaca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","0.0404056854213292","0.37375415282392","0.321775918075361","-0.471655180500191","-1.66802820497974","143","Atp5c1","Mrpl34","Cyc1","Atp5e","Uqcrfs1","Mpc1","Ndufb4","Atp5j2","Slc25a11","Acat1","Atp5j","Ndufb3","Ndufc2","Slc25a4","Ndufa4","Ndufb6","Ndufa5","Cox4i1","Cyb5a","Tomm22","Cox7a2","Vdac1","Slc25a5","Atp6ap1","Ndufa3","Atp6v0c","Ndufb7","Idh3b","Aifm1","Ndufa6","Dld","Ndufv2","Supv3l1","Ndufb5","Rhot1","Atp6v1h","Uqcrc1","Phb2","Ndufs1","Immt","Ndufc1","Timm8b","Atp6v1d","Atp6v0b","Polr2f","Cox6c","Ndufv1","Atp5a1","Idh3g","Afg3l2","Ndufa8","Atp5h","Idh2","Atp6v0e","Gpx4","Mfn2","Atp6v1g1","Ndufs6","Uqcrc2","Uqcrh","Cox6a1","Pmpca","Dlat","Timm13","Cox7b","Vdac3","Pdp1","Atp6v1f","Atp5k","Atp5o","Ndufb8"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","0.0364028879764902","0.37375415282392","0.321775918075361","-0.535639910376341","-1.48679623238767","27","Ndufb4","Gclm","Prdx2","Prnp","Ftl1","Ndufa6","Txnrd1","Abcc1","Msra","Scaf4","Gpx4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_UP","0.0159851729427748","0.37375415282392","0.352487857583619","-0.624196084093104","-1.96406096154102","68","Eif2s3y","Cdc5l","Fkbp4","Selenow","Pdap1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
