"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.22079757762984e-232,-0.713896678010015,0.742,0.832,3.94134497937792e-228,"0","Rpl11"
6.47491053900139e-232,-0.740200302794339,0.646,0.776,2.0904248675166e-227,"0","Rpl9"
2.22491802462022e-231,0.590025799124474,0.752,0.561,7.18314784248639e-227,"0","Zswim6"
6.64211221482023e-231,-0.755382934542794,0.65,0.767,2.14440592855471e-226,"0","Rpl21"
1.4295129447629e-230,-0.751083797135,0.66,0.778,4.61518254216703e-226,"0","Rps19"
3.46423875652861e-229,0.490694336215559,0.891,0.725,1.11842948254526e-224,"0","Frmd5"
4.73142829676865e-226,0.881734920524819,0.41,0.219,1.52754162561176e-221,"0","Ptpro"
2.09354130255652e-225,0.924339748336686,0.547,0.363,6.75899809530373e-221,"0","Gm16599"
5.2093818204736e-225,-0.838702290465888,0.659,0.773,1.6818489207399e-220,"0","Rps5"
1.33013099951925e-224,-1.01551923294593,0.082,0.301,4.29432793194789e-220,"0","Sema5a"
3.17871376804066e-224,-1.10294600723858,0.037,0.235,1.02624774001193e-219,"0","Rgs20"
1.50209963636786e-223,0.642502539784406,0.312,0.138,4.84952867601364e-219,"0","Abcc8"
4.74430670473503e-223,-0.755704764822452,0.65,0.773,1.5316994196237e-218,"0","Rps2"
1.5734561763434e-221,-0.775117026212196,0.516,0.682,5.07990326532468e-217,"0","Rpl29"
2.71922175855559e-221,-0.597229701547265,0.975,0.963,8.77900744749671e-217,"0","Mir99ahg"
5.77675580890863e-221,-0.72104096679525,0.707,0.808,1.86502561290615e-216,"0","Rplp1"
3.23612881969526e-220,0.654142665100093,0.512,0.313,1.04478418943861e-215,"0","Syt16"
2.28218508953246e-219,-0.756470980261101,0.718,0.816,7.36803456155555e-215,"0","Rps7"
4.76337376391462e-219,-0.691991872949212,0.623,0.756,1.53785521967983e-214,"0","Rpl35a"
5.66903676534358e-219,-0.721793166628212,0.167,0.412,1.83024851969117e-214,"0","Vcan"
4.3357863057877e-218,0.572203470497813,0.266,0.103,1.39980860882356e-213,"0","Gm13187"
5.44424419507812e-218,-0.718662342211594,0.635,0.76,1.75767423838097e-213,"0","Rps3"
5.45287475721385e-218,0.622474394632418,0.724,0.538,1.76046061536649e-213,"0","Rab3c"
6.57789594873021e-218,-0.677905109519123,0.761,0.843,2.12367370704755e-213,"0","Rpl27a"
8.34546304477075e-218,-0.8318706360175,0.057,0.264,2.69433274400424e-213,"0","Cdk6"
1.13868607960675e-217,0.33657903646419,1,0.988,3.67624800801038e-213,"0","Auts2"
2.98101051347421e-217,-0.756941129924396,0.043,0.245,9.62419244275148e-213,"0","Nxn"
8.29023737693796e-217,0.337830121349534,1,1,2.67650313714442e-212,"0","mt-Atp6"
1.75375028365446e-216,-0.806923100262243,0.052,0.256,5.66198279077841e-212,"0","Sema6a"
1.38463173154129e-215,-0.750649838535447,0.673,0.782,4.47028354528104e-211,"0","Rps14"
2.43527519637988e-215,-1.06563174792876,0.03,0.219,7.86228597151243e-211,"0","Adgrv1"
5.51916734566182e-215,-0.766993075431966,0.752,0.836,1.78186317754692e-210,"0","Rpsa"
1.10358095582547e-214,-0.684732654863071,0.666,0.788,3.56291111588253e-210,"0","Rpl39"
1.35517757943438e-213,-0.773229319812055,0.084,0.3,4.37519081520388e-209,"0","Pax6"
1.85406520431348e-213,0.746196056678217,0.324,0.146,5.98584951212608e-209,"0","Rspo3"
1.69437082155696e-212,-0.824763655475325,0.458,0.671,5.47027619739666e-208,"0","Magi1"
4.39799769490725e-212,-0.720329026033834,0.673,0.785,1.41989355580081e-207,"0","Rpl8"
5.95540761452e-212,-1.97666768089253,0.114,0.325,1.92270334834778e-207,"0","Sox2ot"
9.76240971283091e-212,0.6657391253133,0.313,0.134,3.15179397578746e-207,"0","Gm20642"
